date,symbol,entry_type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason
2024-01-01,AARTIIND,Long,09:20:00,09:20:00,654.35,652.71,-1.64,Stop Loss
2024-01-02,AARTIIND,Long,09:20:00,09:20:00,657.5,655.86,-1.64,Stop Loss
2024-01-02,AARTIIND,Short,09:55:00,09:55:00,652.1,653.73,-1.63,Stop Loss
2024-01-03,AARTIIND,Short,09:20:00,09:20:00,650.35,651.98,-1.63,Stop Loss
2024-01-04,AARTIIND,Long,09:20:00,09:25:00,655.75,654.11,-1.64,Stop Loss
2024-01-04,AARTIIND,Short,09:25:00,09:25:00,653.0,654.63,-1.63,Stop Loss
2024-01-05,AARTIIND,Short,09:20:00,10:15:00,645.35,642.12,3.23,Target
2024-01-08,AARTIIND,Short,09:20:00,09:20:00,615.0,611.92,3.08,Target
2024-01-09,AARTIIND,Short,09:40:00,09:40:00,602.35,603.86,-1.51,Stop Loss
2024-01-09,AARTIIND,Long,13:30:00,13:45:00,608.45,606.93,-1.52,Stop Loss
2024-01-10,AARTIIND,Long,09:20:00,09:20:00,607.05,605.53,-1.52,Stop Loss
2024-01-10,AARTIIND,Short,09:20:00,09:20:00,603.65,605.16,-1.51,Stop Loss
2024-01-11,AARTIIND,Long,09:25:00,09:30:00,608.95,607.43,-1.52,Stop Loss
2024-01-12,AARTIIND,Long,09:20:00,09:20:00,624.95,623.39,-1.56,Stop Loss
2024-01-15,AARTIIND,Short,09:20:00,09:20:00,608.65,610.17,-1.52,Stop Loss
2024-01-16,AARTIIND,Short,10:35:00,11:45:00,608.45,605.41,3.04,Target
2024-01-17,AARTIIND,Long,09:35:00,09:40:00,599.65,598.15,-1.5,Stop Loss
2024-01-17,AARTIIND,Short,14:30:00,14:30:00,585.75,587.21,-1.46,Stop Loss
2024-01-19,AARTIIND,Long,09:25:00,09:25:00,624.45,622.89,-1.56,Stop Loss
2024-01-20,AARTIIND,Short,09:50:00,09:50:00,662.0,663.66,-1.66,Stop Loss
2024-01-23,AARTIIND,Short,09:20:00,09:25:00,666.55,668.22,-1.67,Stop Loss
2024-01-23,AARTIIND,Long,09:30:00,09:30:00,676.0,674.31,-1.69,Stop Loss
2024-01-24,AARTIIND,Long,10:05:00,10:05:00,648.7,647.08,-1.62,Stop Loss
2024-01-24,AARTIIND,Short,12:35:00,12:35:00,636.3,637.89,-1.59,Stop Loss
2024-01-25,AARTIIND,Short,09:25:00,09:25:00,640.05,641.65,-1.6,Stop Loss
2024-01-29,AARTIIND,Long,09:20:00,09:20:00,642.95,641.34,-1.61,Stop Loss
2024-01-29,AARTIIND,Short,09:30:00,09:30:00,636.7,638.29,-1.59,Stop Loss
2024-01-30,AARTIIND,Short,10:40:00,11:00:00,640.0,636.8,3.2,Target
2024-01-31,AARTIIND,Long,09:20:00,09:20:00,635.25,633.66,-1.59,Stop Loss
2024-02-01,AARTIIND,Short,09:20:00,09:20:00,651.0,652.63,-1.63,Stop Loss
2024-02-02,AARTIIND,Short,09:20:00,09:35:00,646.3,647.92,-1.62,Stop Loss
2024-02-02,AARTIIND,Long,10:45:00,11:05:00,650.55,648.92,-1.63,Stop Loss
2024-02-05,AARTIIND,Short,09:20:00,09:20:00,639.4,641.0,-1.6,Stop Loss
2024-02-05,AARTIIND,Long,10:00:00,10:00:00,645.3,643.69,-1.61,Stop Loss
2024-02-06,AARTIIND,Long,09:20:00,09:20:00,650.8,649.17,-1.63,Stop Loss
2024-02-07,AARTIIND,Short,09:30:00,09:30:00,661.2,662.85,-1.65,Stop Loss
2024-02-07,AARTIIND,Long,13:50:00,13:50:00,667.75,671.09,3.34,Target
2024-02-08,AARTIIND,Long,09:20:00,09:25:00,671.0,669.32,-1.68,Stop Loss
2024-02-08,AARTIIND,Short,09:30:00,09:30:00,667.1,668.77,-1.67,Stop Loss
2024-02-09,AARTIIND,Short,09:20:00,09:20:00,625.0,626.56,-1.56,Stop Loss
2024-02-09,AARTIIND,Long,09:25:00,09:25:00,642.55,645.76,3.21,Target
2024-02-12,AARTIIND,Long,09:20:00,09:20:00,687.3,690.74,3.44,Target
2024-02-13,AARTIIND,Short,09:20:00,09:20:00,658.15,659.8,-1.65,Stop Loss
2024-02-14,AARTIIND,Long,09:20:00,09:20:00,657.4,660.69,3.29,Target
2024-02-15,AARTIIND,Long,09:30:00,09:30:00,685.1,683.39,-1.71,Stop Loss
2024-02-16,AARTIIND,Long,09:20:00,09:20:00,692.45,690.72,-1.73,Stop Loss
